Time,i0_x,i0_y,i0_z,mag1_x,mag1_y,mag1_z,mag2_x,mag2_y,mag2_z,
1.1413,0.179795,0.983586,-0.0152711,0.400426,-0.916299,0.00749724,0.167992,0.985769,-0.00623968,
1.1514,0.161814,0.986596,-0.0210639,0.391628,-0.920023,0.0135865,0.159875,0.987082,-0.0104516,
1.1615,0.140157,0.989853,-0.0233936,0.377887,-0.925666,0.0185609,0.148441,0.988829,-0.0135319,
1.1716,0.118188,0.992739,-0.0223731,0.360273,-0.932593,0.0217779,0.134837,0.990749,-0.0153288,
1.1817,0.0988475,0.994928,-0.0186597,0.340532,-0.939961,0.022609,0.12027,0.992616,-0.0157947,
1.1918,0.0842038,0.996361,-0.0132434,0.321023,-0.946846,0.020648,0.105931,0.994261,-0.0149408,
1.2019,0.0752535,0.997139,-0.00718263,0.304429,-0.952402,0.0159051,0.0929729,0.995586,-0.0128032,
1.212,0.0720066,0.997403,-0.0013693,0.293258,-0.955992,0.00890221,0.0825166,0.996545,-0.00944229,
1.2221,0.0737688,0.997269,0.00361107,0.289295,-0.95724,0.000616823,0.0756334,0.997123,-0.00498172,
1.2322,0.0794968,0.996807,0.00750116,0.293193,-0.956022,-0.00772156,0.0732682,0.997312,0.000328049,
1.2423,0.0881035,0.996058,0.010296,0.304343,-0.952446,-0.0149158,0.0760868,0.997083,0.00605796,
1.2524,0.0986382,0.99505,0.0121191,0.321075,-0.946841,-0.020068,0.0842764,0.996375,0.0115967,
1.2625,0.110326,0.993809,0.0131064,0.341094,-0.939754,-0.0227409,0.0973691,0.995116,0.0162178,
1.2726,0.122512,0.992377,0.0133369,0.362008,-0.931892,-0.0229731,0.114168,0.993276,0.0192117,
1.2827,0.134567,0.990822,0.0128236,0.381762,-0.924018,-0.0211673,0.132834,0.990936,0.0200477,
1.2928,0.145826,0.989243,0.0115517,0.398886,-0.916826,-0.0179093,0.151144,0.988338,0.0185138,
1.3029,0.155592,0.987775,0.00953475,0.412528,-0.91084,-0.0137941,0.166859,0.98587,0.0147885,
1.313,0.16319,0.986571,0.00686233,0.422343,-0.906388,-0.00930717,0.178116,0.983964,0.00942116,
1.3231,0.168071,0.985768,0.00371917,0.428314,-0.903617,-0.00478416,0.183743,0.982969,0.00322869,
1.3332,0.169904,0.985461,0.000371776,0.430597,-0.902544,-0.000437791,0.18343,0.983029,-0.00286077,
1.3433,0.168643,0.985673,-0.00286988,0.429427,-0.903095,0.00357576,0.177745,0.984044,-0.00798063,
1.3534,0.164544,0.986353,-0.00570133,0.42511,-0.905114,0.00708611,0.167996,0.985721,-0.0114788,
1.3635,0.158128,0.987387,-0.00786784,0.418088,-0.908353,0.00986501,0.155959,0.987678,-0.0130222,
1.3736,0.150118,0.988625,-0.00919286,0.409025,-0.912449,0.0116299,0.14355,0.989562,-0.012631,
1.3837,0.141348,0.989914,-0.00958666,0.398866,-0.916929,0.0120977,0.132485,0.991128,-0.0106375,
1.3938,0.132686,0.991117,-0.0090387,0.388832,-0.921242,0.0110733,0.124022,0.99225,-0.00757933,
1.4039,0.12497,0.992131,-0.00760279,0.380299,-0.924824,0.00854104,0.118824,0.992907,-0.00405989,
1.414,0.118957,0.992885,-0.00538548,0.374589,-0.927179,0.00472353,0.116979,0.993134,-0.000615414,
