Time,i0_x,i0_y,i0_z,mag1_x,mag1_y,mag1_z,mag2_x,mag2_y,mag2_z,mag3_x,mag3_y,mag3_z,mag4_x,mag4_y,mag4_z,mag5_x,mag5_y,mag5_z,mag6_x,mag6_y,mag6_z,mag7_x,mag7_y,mag7_z,mag8_x,mag8_y,mag8_z,mag9_x,mag9_y,mag9_z,o0_x,o0_y,o0_z,
0.5656,0.309927,0.950148,0.0341284,0.575434,-0.811732,-0.0998389,0.583289,0.809694,0.0645714,0.462054,-0.884043,-0.0705336,0.453214,0.891393,0.00379545,0.537383,-0.842584,-0.0356697,0.758797,0.649269,0.0517377,0.997079,-0.0102905,-0.075678,0.999543,-0.0302442,-2.23287e-05,0.995255,0.0971202,0.00584804,0.977878,-0.208598,0.0155185,
0.5757,0.331334,0.943283,0.0208439,0.642025,-0.763543,-0.0693279,0.62376,0.779889,0.0519343,0.531347,-0.84298,-0.0839937,0.450312,0.892864,0.00366958,0.565235,-0.824335,-0.0313324,0.782946,0.621137,0.034404,0.996248,0.0671415,-0.0546134,0.999677,-0.0253029,-0.00257705,0.996517,0.0810691,0.0195568,0.978395,-0.205928,-0.018356,
0.5858,0.342715,0.939388,0.00980235,0.680211,-0.732166,-0.0352976,0.655229,0.75422,0.0427468,0.602995,-0.793229,-0.0847684,0.451688,0.892093,0.0121525,0.587813,-0.808644,-0.0239009,0.796727,0.604064,0.0182329,0.99344,0.112104,-0.0225639,0.999781,-0.0207027,-0.0030633,0.998188,0.0529054,0.0286608,0.984802,-0.167165,-0.0471314,
0.5959,0.346158,0.938176,0.000318617,0.691779,-0.722107,-0.00198095,0.681311,0.731117,0.0358421,0.665716,-0.742439,-0.0748763,0.464688,0.885094,0.0259731,0.602828,-0.797734,-0.014797,0.802167,0.59709,0.00335708,0.99316,0.116087,0.0125211,0.999827,-0.0183624,-0.00279769,0.999315,0.0184835,0.0320472,0.992712,-0.100827,-0.0660054,
0.606,0.342675,0.939417,-0.00838642,0.679718,-0.732971,0.0271507,0.703616,0.709978,0.0292483,0.713568,-0.698143,-0.0584566,0.49198,0.869681,0.0401305,0.609836,-0.792504,-0.00605441,0.800329,0.59947,-0.0104008,0.995828,0.0808595,0.0422814,0.999834,-0.0179335,-0.00315779,0.999437,-0.0157037,0.0296609,0.997178,-0.0198469,-0.0723968,
0.6161,0.332343,0.943007,-0.0168753,0.647794,-0.760228,0.0491601,0.721787,0.691795,0.0210496,0.745488,-0.665339,-0.0396584,0.530815,0.846024,0.0497824,0.610231,-0.792223,0.000530848,0.791388,0.610874,-0.0231925,0.998032,0.0173282,0.0602732,0.999839,-0.0172847,-0.0049116,0.998789,-0.0437425,0.0224987,0.995961,0.0608536,-0.0660155,
0.6262,0.314694,0.948857,-0.0252419,0.601294,-0.796641,0.0617188,0.734072,0.678998,0.0100098,0.763239,-0.645759,-0.0214884,0.574557,0.816823,0.05181,0.606641,-0.794965,0.00406929,0.774942,0.631072,-0.0348393,0.996314,-0.0576781,0.0634888,0.999875,-0.0137494,-0.00785902,0.998034,-0.0614482,0.0123791,0.990689,0.127179,-0.0485943,
0.6363,0.289342,0.95666,-0.0329183,0.547721,-0.834235,0.0636699,0.738082,0.674699,-0.0040992,0.769555,-0.638557,-0.00555721,0.615438,0.786875,0.0454271,0.601951,-0.798518,0.00487194,0.750571,0.659285,-0.0445587,0.990615,-0.126108,0.0527233,0.999925,-0.00557188,-0.010911,0.997747,-0.0670753,0.00149379,0.985441,0.168376,-0.0235857,
0.6464,0.256798,0.965692,-0.0386411,0.496167,-0.866434,0.0557758,0.731463,0.681575,-0.0204251,0.767042,-0.64155,0.00770706,0.646956,0.761863,0.0318087,0.598235,-0.801309,0.00428636,0.718658,0.6935,-0.0508786,0.984307,-0.173533,0.0320247,0.999896,0.00705579,-0.0125543,0.998082,-0.0613702,-0.00811904,0.983898,0.178677,0.00431093,
0.6565,0.219261,0.974816,-0.0407206,0.455069,-0.889512,0.0410094,0.712461,0.700728,-0.0371442,0.757669,-0.652371,0.0186958,0.664925,0.746793,0.01322,0.595982,-0.802987,0.00414672,0.681319,0.730141,-0.0519472,0.981278,-0.192453,0.00742654,0.999697,0.0217578,-0.0114891,0.998781,-0.0470397,-0.0149921,0.987,0.157899,0.0299952,
0.6666,0.180954,0.982771,-0.0376547,0.429447,-0.902775,0.0239077,0.680553,0.730872,-0.05171,0.742534,-0.669214,0.0282316,0.667275,0.74477,-0.00778952,0.59394,-0.804486,0.00606402,0.64298,0.764482,-0.0463059,0.982978,-0.183123,-0.0148657,0.999375,0.0346057,-0.0071892,0.999441,-0.0278817,-0.018439,0.992593,0.11116,0.0490243,
0.6767,0.147613,0.988623,-0.0288988,0.419335,-0.907786,0.0091311,0.637266,0.768202,-0.061299,0.721798,-0.691104,0.0371814,0.653401,0.756462,-0.0288357,0.589616,-0.807611,0.0108354,0.609898,0.791756,-0.0338596,0.987891,-0.152172,-0.0302451,0.999143,0.0413882,-0.000196667,0.999797,-0.00782917,-0.0185557,0.997143,0.0478575,0.0584488,
0.6868,0.125086,0.992026,-0.015419,0.420327,-0.907373,-8.43562e-05,0.586878,0.807178,-0.0635512,0.69481,-0.717716,0.0460744,0.623717,0.780186,-0.0478246,0.580186,-0.814281,0.0181727,0.588384,0.808414,-0.0164718,0.993269,-0.109878,-0.0366566,0.999204,0.039085,0.0079504,0.999822,0.00988507,-0.0160477,0.998163,-0.0200454,0.0571741,
