Time,Magnet_72_0_x,Magnet_72_0_y,Magnet_72_0_z,Magnet_72_1_x,Magnet_72_1_y,Magnet_72_1_z,Magnet_72_2_x,Magnet_72_2_y,Magnet_72_2_z,Magnet_72_3_x,Magnet_72_3_y,Magnet_72_3_z,Magnet_72_4_x,Magnet_72_4_y,Magnet_72_4_z,Magnet_72_5_x,Magnet_72_5_y,Magnet_72_5_z,Magnet_72_6_x,Magnet_72_6_y,Magnet_72_6_z,Magnet_72_7_x,Magnet_72_7_y,Magnet_72_7_z,Magnet_72_8_x,Magnet_72_8_y,Magnet_72_8_z,Magnet_72_9_x,Magnet_72_9_y,Magnet_72_9_z,Magnet_72_10_x,Magnet_72_10_y,Magnet_72_10_z,Magnet_72_11_x,Magnet_72_11_y,Magnet_72_11_z,Magnet_72_12_x,Magnet_72_12_y,Magnet_72_12_z,
2.5,0.022008,0.999758,4.56659e-05,0.581164,0.813784,0.00217684,0.969607,-0.244327,-0.0129249,0.993867,-0.110518,0.0036588,0.261376,0.965237,-0.00020668,0.644238,0.764821,0.0026306,-0.050525,-0.998723,4.19537e-05,0.564556,0.825385,0.00400174,0.523555,0.851991,0.000718556,0.708731,-0.705478,0.000983019,0.977654,0.210189,-0.00355388,0.999546,-0.0301119,0.00111008,0.999934,-0.0114864,7.4966e-05,
2.6,0.021514,0.999769,-2.06629e-05,0.599907,0.800067,0.00212287,0.996944,-0.0771409,-0.0123037,0.98788,-0.155198,0.00262361,0.259068,0.965859,-0.000167818,0.663582,0.748096,0.00319236,-0.0507388,-0.998712,6.2489e-05,0.592706,0.805416,0.00215005,0.542062,0.840337,0.00130576,0.716471,-0.697616,-0.000776978,0.969784,0.243954,-0.00246187,0.999215,-0.039588,0.0013361,0.999924,-0.0122986,1.65911e-05,
2.7,0.0211939,0.999775,-9.15875e-05,0.621017,0.783791,0.00290483,0.997985,-0.0628568,0.00868387,0.989431,-0.144985,-0.00253968,0.260168,0.965563,0.000196573,0.687995,0.725708,0.00337931,-0.050974,-0.9987,3.24114e-05,0.592285,0.805725,-0.0022952,0.536638,0.843812,-0.00117904,0.707497,-0.706712,0.002231,0.962855,0.269986,-0.00410797,0.99891,-0.0466667,0.00103142,0.99993,-0.0118458,5.05893e-05,
2.8,0.020844,0.999783,-9.84856e-05,0.644803,0.764344,0.00280318,0.988397,-0.151875,0.00232853,0.993053,-0.117649,-0.00207172,0.261551,0.96519,0.000284593,0.717241,0.696814,0.00391687,-0.0512391,-0.998686,1.53812e-05,0.578787,0.815478,-0.00114583,0.528975,0.848637,-0.000886406,0.697721,-0.716366,0.00232527,0.94671,0.322041,-0.00546657,0.997954,-0.0638694,0.0028793,0.999893,-0.0146247,-1.701e-05,
2.9,0.0205,0.99979,-7.61777e-05,0.664519,0.747268,0.00236247,0.995044,-0.0991671,-0.00735034,0.991948,-0.12662,0.00256863,0.261194,0.965286,-0.000247366,0.73994,0.672666,0.00318378,-0.0515054,-0.998673,1.4433e-06,0.584433,0.81144,0.0015912,0.525302,0.850915,0.000531257,0.68532,-0.728241,0.000824311,0.929775,0.368101,-0.00441117,0.996374,-0.0850543,0.00212775,0.999958,-0.00907795,-0.00082154,
3,0.0201002,0.999798,-6.2094e-05,0.685315,0.728241,0.00286852,0.996689,-0.0812012,0.00425797,0.992328,-0.123618,-0.00198078,0.261715,0.965145,0.00027027,0.764942,0.644086,0.00403752,-0.0518018,-0.998657,-7.88068e-07,0.587679,0.809093,-0.00133596,0.527467,0.849575,-0.000897707,0.681733,-0.731599,0.00184578,0.913696,0.406376,-0.00427114,0.99425,-0.107044,0.00289787,0.999983,-0.00584951,-0.000228839,
3.1,0.0196827,0.999806,-4.68664e-05,0.707112,0.707097,0.0027564,0.993264,-0.115868,-0.000932492,0.993644,-0.112571,-9.17293e-05,0.26224,0.965003,6.68281e-05,0.792488,0.609872,0.00442328,-0.0520353,-0.998645,3.95027e-06,0.57773,0.816228,-0.000496536,0.515719,0.856757,-0.00100933,0.664497,-0.747285,0.00282628,0.890468,0.455004,-0.00613048,0.99061,-0.136655,0.0042128,0.999999,0.000328641,-0.00135925,
3.2,0.0192875,0.999814,-3.80537e-05,0.726393,0.687275,0.00273255,0.996398,-0.0847912,-0.00132903,0.99325,-0.115996,0.000334882,0.262371,0.964967,-2.95968e-05,0.816959,0.576683,0.00383792,-0.0522751,-0.998633,9.08109e-06,0.582522,0.812815,6.26862e-06,0.513674,0.857986,-1.07297e-05,0.653139,-0.757237,0.00113605,0.865299,0.501235,-0.00455233,0.982443,-0.186468,0.00600564,0.999774,0.0209865,-0.0035347,
3.3,0.0188634,0.999822,-4.26642e-05,0.747293,0.664488,0.00292497,0.99497,-0.100154,0.00183822,0.994127,-0.108221,-0.000880275,0.263078,0.964775,0.000141143,0.84332,0.537384,0.00549301,-0.0524775,-0.998622,2.04651e-06,0.577399,0.816461,-0.00111876,0.506891,0.862009,-0.00143564,0.640514,-0.76794,0.00317705,0.839837,0.542806,-0.0058952,0.969651,-0.244382,0.00731094,0.997551,0.0696055,-0.00678795,
3.4,0.0184746,0.999829,-4.51628e-05,0.766608,0.642109,0.00274898,0.995531,-0.0944219,-0.00143298,0.994121,-0.108272,0.00028274,0.2633,0.964714,1.15069e-05,0.872094,0.489311,0.00519039,-0.0526785,-0.998612,-1.72037e-06,0.57399,0.818862,-4.70098e-05,0.496847,0.867838,-0.000751678,0.620587,-0.784133,0.00254254,0.805498,0.592565,-0.00637234,0.943095,-0.332305,0.0120729,0.987154,0.159197,-0.0135544,
3.5,0.0180556,0.999837,-5.82633e-05,0.785827,0.618439,0.0029799,0.995289,-0.0969458,0.00130294,0.994519,-0.104557,-0.000435689,0.263892,0.964552,8.35704e-05,0.897844,0.440268,0.00629774,-0.0528257,-0.998604,-1.82764e-05,0.570818,0.821076,-0.00138901,0.488109,0.872781,-0.00181461,0.600701,-0.799464,0.00397643,0.766384,0.64234,-0.0074465,0.893298,-0.449199,0.0154966,0.936944,0.34841,-0.0273088,
3.6,0.0176354,0.999844,-5.06316e-05,0.804023,0.594592,0.00271211,0.994989,-0.099986,-0.000281869,0.994666,-0.103146,7.64693e-05,0.264433,0.964404,7.33007e-05,0.929642,0.368352,0.00910446,-0.0529433,-0.998598,-3.25329e-05,0.562222,0.826986,-0.000927772,0.468576,0.88342,-0.00239699,0.564988,-0.82508,0.0056069,0.710405,0.703724,-0.00984973,0.807067,-0.59022,0.0168351,0.821427,0.570036,-0.0178143,
3.7,0.0172806,0.999851,-5.36104e-05,0.821898,0.569626,0.00313102,0.994354,-0.106105,0.00116724,0.994791,-0.101937,-0.000254184,0.26529,0.964169,0.000131719,0.964447,0.263935,0.0134528,-0.0529795,-0.998596,-7.40141e-05,0.553852,0.832614,-0.00112319,0.450382,0.892835,-0.00112124,0.533213,-0.84598,0.00131118,0.665847,0.746086,-0.00205704,0.760266,-0.64961,0.00184455,0.780992,0.624537,-0.00224581,
3.8,0.0168726,0.999858,-5.69747e-05,0.840725,0.541454,0.00313642,0.993507,-0.113771,0.000491126,0.994768,-0.10216,0.000210912,0.267034,0.963687,0.000200676,0.997355,0.0661614,0.0301064,-0.0526692,-0.998612,-0.000236817,0.554637,0.832092,-0.000288659,0.451647,0.892196,-0.00124251,0.528331,-0.849029,0.00405241,0.63684,0.77096,-0.00749903,0.721047,-0.692786,0.0117606,0.738349,0.674293,-0.0130538,
3.9,0.0165098,0.999864,-4.92309e-05,0.858236,0.513245,0.00333335,0.989219,-0.146354,0.00513302,0.994412,-0.105569,-0.000334822,0.270957,0.962591,0.000405972,0.892082,-0.446824,0.0673712,-0.0488432,-0.998806,-0.00122262,0.536866,0.843661,-0.00333441,0.415892,0.909405,-0.0040047,0.475388,-0.879755,0.0061262,0.575162,0.818009,-0.00707303,0.641192,-0.767328,0.0089931,0.647894,0.761682,-0.008631,
4,0.0160864,0.999871,-4.83248e-05,0.876715,0.481002,0.00270661,0.987973,-0.154484,-0.00656098,0.995146,-0.0984041,0.000538958,0.270916,0.962603,-0.000369115,0.913952,-0.40198,-0.0557103,-0.0488377,-0.998805,0.00199483,0.531686,0.84694,0.00133881,0.407206,0.913336,0.00118723,0.456854,-0.889541,-0.000203599,0.53831,0.842741,-0.00312523,0.596488,-0.802603,0.00555807,0.603453,0.797369,-0.00685037,
